name,roo_guidance_url,hs_nomenclature_version
Namibia,https://www.gov.uk/guidance/summary-of-the-sacum-uk-economic-partnership-agreement-epa,2007
Netherlands,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Nicaragua,https://www.gov.uk/guidance/summary-of-the-uk-central-america-association-agreement,2007
North Macedonia,https://www.gov.uk/guidance/summary-of-the-uk-north-macedonia-partnership-trade-and-cooperation-agreement,2007
Norway,https://www.gov.uk/guidance/trade-with-norway,2007
Panama,https://www.gov.uk/guidance/summary-of-the-uk-central-america-association-agreement,2007
Papua New Guinea,https://www.gov.uk/guidance/summary-of-the-uk-pacific-economic-partnership-agreement-epa,1996
Peru,https://www.gov.uk/guidance/summary-of-uk-andean-countries-trade-agreement,2007
Poland,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Portugal,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Romania,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Samoa,https://www.gov.uk/guidance/summary-of-the-uk-pacific-economic-partnership-agreement-epa,1996
San Marino,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Serbia,https://www.gov.uk/guidance/trade-with-serbia,2007
Seychelles,https://www.gov.uk/guidance/summary-of-the-esa-uk-economic-partnership-agreement-epa,1996
Singapore,https://www.gov.uk/guidance/summary-of-the-uk-singapore-agreement,2007
Slovakia,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Slovenia,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Solomon Islands,https://www.gov.uk/guidance/summary-of-the-uk-pacific-economic-partnership-agreement-epa,1996
South Africa,https://www.gov.uk/guidance/summary-of-the-sacum-uk-economic-partnership-agreement-epa,2007
South Korea,https://www.gov.uk/guidance/summary-of-uk-south-korea-trade-agreement,2007
Spain,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
St Kitts and Nevis,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
St Lucia,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
St Vincent,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Suriname,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Sweden,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Switzerland,https://www.gov.uk/guidance/summary-of-the-uk-switzerland-liechtenstein-trade-agreement,2017
The Occupied Palestinian Territories,https://www.gov.uk/guidance/summary-of-the-uk-palestinian-authority-political-trade-and-partnership-agreement,2007
Trinidad and Tobago,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Tunisia,https://www.gov.uk/guidance/summary-of-the-uk-tunisia-association-agreement,2002
Turkey,https://www.gov.uk/guidance/summary-of-the-uk-turkey-trade-agreement,2017
Ukraine,https://www.gov.uk/guidance/summary-of-the-uk-ukraine-political-free-trade-and-strategic-partnership-agreement,2007
Vietnam,https://www.gov.uk/guidance/summary-of-the-uk-vietnam-agreement,2012
Zimbabwe,https://www.gov.uk/guidance/summary-of-the-esa-uk-economic-partnership-agreement-epa,1996
