name,trade_agreement_title,trade_agreement_type,new_trade_agreement_url,new_scenario
South Korea,UK-South Korea trade agreement,Trade agreement,https://www.gov.uk/government/collections/uk-south-korea-trade-agreement,TRADE_AGREEMENT
South Sudan,,,,GSP
Spain,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Sri Lanka,,,,GSP
St Kitts and Nevis,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
St Lucia,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
St Vincent,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Sudan,,,,GSP
Suriname,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Sweden,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Switzerland,UK-Switzerland-Liechtenstein Trade Agreement,Trade agreement,https://www.gov.uk/government/collections/uk-switzerland-liechtenstein-trade-agreement,TRADE_AGREEMENT
Syria,,,,DOM_LEG_GSP_WITH_EXCLUSIONS
Taiwan,,,,NON_PREF
Tajikistan,,,,GSP_WITH_EXCLUSIONS
Tanzania,,,,GSP
Thailand,,,,NON_PREF
The Gambia,,,,NON_PREF
The Occupied Palestinian Territories,"UK-Palestinian Authority political, trade and partnership agreement","Political, trade and partnership agreement",https://www.gov.uk/government/collections/uk-palestinian-authority-political-trade-and-partnership-agreement,TRADE_AGREEMENT
Togo,,,,GSP
Tonga,,,,NON_PREF
Trinidad and Tobago,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Tunisia,UK-Tunisia association agreement,Association agreement,https://www.gov.uk/government/collections/uk-tunisia-association-agreement,TRADE_AGREEMENT
Turkey,UK-Turkey trade agreement,Trade agreement,https://www.gov.uk/government/collections/uk-turkey-trade-agreement,TRADE_AGREEMENT
Turkmenistan,,,,DOM_LEG
Tuvalu,,,,GSP
Uganda,,,,GSP
Ukraine,"UK-Ukraine political, free trade and strategic partnership agreement","Political, free trade and strategic partnership agreement",https://www.gov.uk/government/collections/uk-ukraine-political-free-trade-and-strategic-partnership-agreement,TRADE_AGREEMENT
United Arab Emirates,,,,NON_PREF
United States,,,,NON_PREF
Uruguay,,,,NON_PREF
Uzbekistan,,,,DOM_LEG_GSP_WITH_EXCLUSIONS
Vanuatu,,,,GSP
Vatican City,,,,NON_PREF
Venezuela,,,,NON_PREF
Vietnam,UK-Vietnam Free Trade Agreement,Free trade agreement,https://www.gov.uk/government/collections/uk-vietnam-free-trade-agreement,TRADE_AGREEMENT_GSP_TRANS
Yemen,,,,GSP
Zambia,,,,GSP
Zimbabwe,ESA-UK economic partnership agreement (EPA),Economic partnership agreement,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,TRADE_AGREEMENT
European Union,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Anguilla,,,,NON_PREF
Antarctica,,,,NON_PREF
American Samoa,,,,NON_PREF
Aruba,,,,NON_PREF
Saint Barthélemy,,,,NON_PREF
Bermuda,,,,NON_PREF
"Bonaire, Sint Eustatius and Saba",,,,NON_PREF
Bouvet Island,,,,NON_PREF
"Cocos Islands (or Keeling Islands)",,,,NON_PREF
Curaçao,,,,NON_PREF
Christmas Island,,,,NON_PREF
Western Sahara,,,,NON_PREF
Falkland Islands,,,,NON_PREF
Gibraltar,,,,NON_PREF
Greenland,,,,NON_PREF
South Georgia and South Sandwich Islands,,,,NON_PREF
Guam,,,,NON_PREF
Heard Island and McDonald Islands,,,,NON_PREF
British Indian Ocean Territory,,,,NON_PREF
Cayman Islands,,,,NON_PREF
Macao,,,,NON_PREF
Northern Mariana Islands,,,,NON_PREF
Montserrat,,,,NON_PREF
New Caledonia and dependencies,,,,NON_PREF
Norfolk Island,,,,NON_PREF
"Sint Maarten (Dutch part)",,,,NON_PREF
Turks and Caicos Islands,,,,NON_PREF
French Southern Territories,,,,NON_PREF
Tokelau,,,,NON_PREF
United States Minor outlying islands,,,,NON_PREF
"Virgin Islands, British",,,,NON_PREF
"Virgin Islands, United States",,,,NON_PREF
Wallis and Futuna Islands,,,,NON_PREF
Hong Kong,,,,NON_PREF
French Polynesia,,,,NON_PREF
St Pierre and Miquelon,,,,NON_PREF
Pitcairn,,,,NON_PREF
"Saint Helena, Ascension and Tristan da Cunha",,,,NON_PREF
Cook Islands,,,,GSP_WITH_EXCLUSIONS
Niue Island,,,,GSP_WITH_EXCLUSIONS
