Country,ROO 1,ROO 2,ROO 3,Priority 1,Priority 2,Priority 3,,
Swaziland,TPM,EPA SADC,,1,2,,,
Switzerland,PEM,EEA,,1,3,,,
Syria,GSP,,,1,,,,
Tajikistan,GSP,,,1,,,,
Tanzania,GSP,,,1,,,,
Timor-Leste,GSP,,,1,,,,
Togo,GSP,,,1,,,,
Tonga,GSP,,,1,,,,
Trinidad and Tobago,EPA_CARIFORUM,,,2,,,,
Tunisia,Euromed,GSP,,3,1,,,
Turkey,PEM,,,3,,,,
Turks and Caicos,OCTS,,,1,,,,
Tuvalu,GSP,,,1,,,,
Uganda,GSP,,,1,,,,
Ukraine,FTA DC,GSP,,3,1,,,
Uzbekistan,GSP,,,1,,,,
Vanuatu,GSP,,,1,,,,
Vietnam,GSP,,,1,,,,
"Virgin Islands, British (see British Virgin Islands)",OCTS,,,1,,,,
Wallis and Futuna Islands,OCTS,,,3,,,,
Yemen,GSP,,,1,,,,
Zambia,GSP,,,1,,,,
Zimbabwe,TPM,EPA_ESA,,1,1,,,
